title,authors,year,doi,journal,abstract,cited_by_count,type,open_access,url,openalex_id,assessment_tasks
Evaluation of Infrared Thermography Dataset for Delamination Detection in Reinforced Concrete Bridge Decks,Eberechi Ichi; Sattar Dorafshan,2024,10.3390/app14062455,Applied Sciences,"Structural health monitoring and condition assessment of existing bridge decks is a growing challenge. Conventional manned inspections are costly, labor-intensive, and often risky to execute. Sub-surface delamination, a leading cause of deck replacement, can be autonomously and objectively detected using infrared thermography (IRT) data with developed deep learning AI models to address some of the limitations associated with manned inspection. As one of the most promising classifiers, deep convolutional neural networks (DCNNs) have not been utilized to their fullest potential for delamination detection, arguably due to the scarcity of realistic ground truth datasets. In this study, a common encoder–decoder semantic segmentation-based DCNN is adapted through domain adaptation. The model was tuned and trained on a publicly available dataset to detect subsurface delamination in IRT data collected from in-service bridge decks. The authors investigated the effect of dataset augmentation, class imbalance, the number of classes, and the effect of background removal in the training dataset, resulting in an overall number of seventy-five UNET models. Four out of five bridges were adopted for training and validation, and the fifth bridge was for testing. Most models averaged 80 iterations, and the training progress finally reached a training accuracy of 75% with a loss of about 0.6 without any overfitting. The result showed a substantial difference in the minimum and maximum values for the evaluated performance metrics (0.447 and 0.773 for global accuracy, 0.494 and 0.657 for mean accuracy, 0.239 and 0.716 for precision, 0.243 and 0.558 for true positive rate (TPR), 0.529 and 0.899 for true negative rate (TNR), 0.282 and 0.550 for F1-score. The results also indicated that the models trained on the raw annotated balanced dataset performed best for half of the metrics. In contrast, the models trained on raw data (with no dataset enhancement) performed better when only global accuracy was considered.",12,article,True,https://doi.org/10.3390/app14062455,https://openalex.org/W4392851254,Tasks: defects
Internal Damage Detection in Reinforced Concrete Member Using Ultrasonic Pulse Velocity Nondestructive Testing,Muhammad Saleem,2024,10.1061/jcemd4.coeng-14531,Journal of Construction Engineering and Management,,8,article,False,https://doi.org/10.1061/jcemd4.coeng-14531,https://openalex.org/W4399012293,Tasks: defects
Early Detection of Corrosion Damage in Reinforced Concrete Using GPR Array Imaging Method,Weixia Cheng; Hai-Han Sun; Kang Hai Tan; Zheng Fan,2024,10.1109/tim.2024.3383496,IEEE Transactions on Instrumentation and Measurement,"Corrosion of reinforcing bars constitutes a significant factor contributing to cracking and spalling in reinforced concrete (RC) structures. To prolong the service life of RC structures, it is crucial to develop a robust nondestructive inspection system for early-stage corrosion damage assessment. Although ground-penetrating radar (GPR) has proven its effectiveness in detecting severe corrosion damage, identifying early-stage corrosion with conventional GPR methods with single-input-single-output (SISO) configuration is challenging due to their limited sensitivity to subtle changes in the properties of the reinforcing bar and the surrounding environment. To address this challenge, this study introduces a method that employs a GPR array to increase sensitivity in detecting early-stage corrosion. The method uses a linear multiple-input-multiple-output (MIMO) GPR array to reconstruct images of the reinforcing bars during the corrosion process. The reconstructed images are highly sensitive to corrosion-induced rusts and cracks that exhibit different dielectric permittivity and conductivity compared to the concrete. By analyzing the differences in these images from those of bars in a healthy state using the structural similarity (SSIM) index, the progression of corrosion can be precisely identified. The effectiveness of this method has been validated through numerical simulations and experimental corrosion monitoring tests. Compared to conventional SISO GPR configurations, the MIMO array offers a broader perspective in sensing corrosion products surrounding the reinforcing bars, thereby improving sensitivity and robustness in detecting early-stage corrosion.",7,article,False,https://doi.org/10.1109/tim.2024.3383496,https://openalex.org/W4393379781,Tasks: deterioration
Design of Concrete Mock-Ups with Complex Defect Scenarios Using Numerical Simulations,Fabian Dethof; Sylvia Keßler,2024,10.1007/s10921-024-01074-9,Journal of Nondestructive Evaluation,"Abstract The major objective when applying non-destructive testing (NDT) in civil engineering is the detection of defects such as honeycombs. Defects can impair the service life of structures and could lead in the worst case to fatal failures. All structures such as bridges, tunnels, locks etc. are unique objects with variation in geometry, dimensions, materials, environmental condition, load scenarios etc. Thus, the interpretation of NDT data is challenging and the validation of the NDT method, the training of inspectors and the reliability analysis of NDT rely on mock-ups with known defect situations mimicking the type of defect as realistic as possible. The considered defect sizes inside the mock-ups should cover the transition zone between detectable and non-detectable to properly evaluate the capability of the inspection system. However, knowledge about the limits of an inspection system is mostly non-existent. To overcome this limitation, this study applies realistic numerical simulations for ultrasonic testing in reinforced concrete performed with the elastodynamic finite integration technique (EFIT) to identify this transition zone. First, the study shows the development and the validation of a numerical representation of concrete considering the implementation of a qualitatively realistic noise level. Additionally, the accurate representation of the sources during ultrasonic testing is confirmed by an investigation of the radiation characteristic for dry point contact ultrasonic transducers. The simulation outcome enabled the design of a mock-up, which explores the detection limits for honeycombs during ultrasonic testing under different boundary conditions. A case study demonstrates the applicability of the design scheme based on numerical simulation. In the real specimen designed with the assistance of numerical simulations, $$68\mathrm{\%}$$ <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""> <mml:mrow> <mml:mn>68</mml:mn> <mml:mo>%</mml:mo> </mml:mrow> </mml:math> of the implemented defects are detectable, proving the effectiveness of the design methodology.",7,article,True,https://doi.org/10.1007/s10921-024-01074-9,https://openalex.org/W4396669501,Tasks: deterioration
Defect Classification of Reinforced Concrete Structures with Nondestructive Tests Using Statistical and Machine Learning Methods,Sajjad Sayyar-Roudsari; Armaghan Shalbaftabar; Farshid Damirchilo; Rohollah Taslimian; Taher Abu-Lebdeh,2024,10.3844/ajeassp.2024.102.115,American Journal of Engineering and Applied Sciences,"&lt;p&gt;In this study, twelve reinforced concrete beams were constructed, each with specified dimensions and initial compressive strength. The beams were divided into four groups: A control group without any defect, a void group featuring a centrally located void, a corrosion group and a debonding group. The impact echo test was used for nondestructive testing, gathering data on compressive and shear wave velocity and frequency. The collected data, including compressive and shear wave velocity, frequency and derived material properties as well as modulus of elasticity, were used for subsequent analyses. To determine the type of defect, artificial intelligence and machine learning methods were utilized. Data collected from the impact echo method were analyzed using RStudio and the MATLAB toolbox for statistical analysis. Linear regression was employed to establish relationships between inputs (wave velocity and frequency) and outputs as shear and compressive modulus. The accuracy of these relationships was assessed through correlation coefficients, p-values and adjusted R-squared error. Additionally, an Imperial Competitive Algorithm (ICA) as part of the artificial neural network method was implemented to predict the variables. The results demonstrated high correlation coefficients and low mean square errors, indicating accurate predictions. Frequency domain defect detection was performed by analyzing frequency-amplitude data. The MATLAB toolbox was used to identify peaks and determine defects based on a 20% boundary condition. The comparison of peaks confirmed the presence of defects in beams with voids, corrosion and debonding. Subsequently, support vector machines were employed to classify defects in reinforced concrete structures, including voids, corrosion and debonding. This study utilized key features of reinforced concrete and assessed SVM performance using precision, recall and F1-score metrics. Overall, this study illustrates the effectiveness of machine learning techniques complied with impact echo tests in assessing and predicting the quality of reinforced concrete beams with various internal defects&lt;/p&gt;",7,article,True,https://doi.org/10.3844/ajeassp.2024.102.115,https://openalex.org/W4399757490,"Tasks: strength, defects"
Impact-Echo for Crack Detection in Concrete with Artificial Intelligence based on Supervised Deep Learning,Jeero Pandum; Kazuhito Hashimoto; Takafumi Sugiyama; Wanchai Yodsudjai; Hokkaido University,2024,10.58286/29925,e-Journal of Nondestructive Testing,"Aging concrete infrastructure such as bridges and tunnels need to be appropriately maintained in their service life because these structures must be employed with ensured safety level. Inspection and maintenance with reasonable measures are typically operated for the reinforced concrete before severe damage and failure are developed. Especially, the crack propagation in concrete can significantly affect the structural integrity, durability and overall performance of structural elements. Effective maintenance strategies are required for material and structural assessment with detection and repair of cracks to prevent further deterioration. Identification of cracks in concrete is effectively operated to extend the service life of structures for mitigating the potential safety hazards and minimize the repair costs. In order to detect the cracks in the concrete structure member, non-destructive testing (NDT) system can be often introduced to satisfy the technical issues in terms of damage evaluation and estimation of repair condition. Currently, various NDT methods have been utilized for quantitative analysis of internal damage/defects using elastic wave method such as impact-echo method, focusing on reflection of P-wave in concrete as wave propagation behavior. In experimental laboratory tests, concrete specimens are usually prepared with interior damages (cracks) which are simulated as embedded plastic plate or styrofoam. In this study, starch- type polysaccharide sheet is used to form the simulated cracks in concrete specimen. This study aims at applying impact-echo method with AI (Artificial Intelligence) to identify the internal crack information based on the waveform characteristics obtained from the elastic wave propagation behavior. The waveform results are converted to frequency spectrum by FFT analysis. Consequently, it is found in this study that AI, which is employed by supervised deep learning models, successfully evaluates the data and displays the probability of crack existence in concrete. Since FFT is a powerful algorithm that quickly converts a signal from the time domain to the frequency domain, it gives efficient analysis to the impact echo method for crack detection with the application of AI system.",6,article,True,https://doi.org/10.58286/29925,https://openalex.org/W4398763217,"Tasks: deterioration, defects"
Retrofitting and Strengthening of an RCC Building – A Case Study of Mixed Housing Typology,Rakesh Katam; Sairam Neridu; Ajay Kumar Sreerama; Venkata Dilip Kumar Pasupuleti; Prafulla Kalapatapu,2024,10.1016/j.prostr.2023.12.008,Procedia Structural Integrity,"Construction of hybrid or mixed housing typologies with non-engineer solutions has become a common practice in developing countries, such as India. Which in turn affects the service life of the structure and ultimately leads to early failure. However, during the design life of a structure, it is important to investigate the risk posed by multiple parameters such as a sudden change in functional utility, exposure to natural hazards, modifications, and/or expansions in the existing structure. One such case is studied in detail, where a thirty-year-old single-story reinforced concrete building (existing building) is extended to a three-story structure (modified building) leading to multiple structural element damages in the existing building over a period of one year. To evaluate the reasons behind structural elements' damage and reduce the risk of sudden failure, a detailed investigation is carried out based on Non-destructive methods. A numerical model has been developed using Non-destructive testing (NDT) results for estimating the current load-carrying capacity of the structure and results obtained show that there is a load-carrying deficiency in structural elements of the existing building. To enhance both load carrying capacity and service life of the structure, considering site challenges, both composite and encasement retrofitting scheme has been proposed and executed to make the building in a serviceable state.",6,article,True,https://doi.org/10.1016/j.prostr.2023.12.008,https://openalex.org/W4391425486,Tasks: deterioration
Experimental Investigation of the Structural Performance of Concrete Containing Cellulose Fibers and the Anti-corrosive Effect of Green Corrosion Inhibitors,P. Ramshankar; P. Ganeshan; K. Raja; B. NagarajaGanesh,2024,10.59440/ceer/187189,Civil And Environmental Engineering Reports,"This research was aimed to find the structural behaviour of Calotropis procera fibres added concrete and the effect of Azadirachta indica leaf slurry blended to concrete and exposed to seawater. Conventional and fibre reinforced concrete samples fabricated keeping the curing time as 7, 14 and 28 dayswere subjected to compression, split tensile, rebound hammer and ultrasonic pulse velocity test. Increase in curing time increased the structural properties and Calotropis procerafibres added samples produced respectively 19.5%, 15%, 10.3 and 14.5% improvement in the compression, tensile, rebound hammer and ultrasonic pulse velocity values. These fibres reduced the brittleness of the specimen and avoided unprecedented failures. Accelerated corrosion and gravimetric mass loss test conducted to estimate the anti-corrosive property of Azadirachta indica leaf slurry showed decrease in corrosion rate. The corrosion rate of concrete samples without and with inhibitors was 0.0654 ± 0.008 and 0.056 ± 0.011 mm/year respectively evincing the anti-corrosive effects of Azadirachta indica leaves. Thus green materials are compatible with concrete and can be used in making sustainable concrete structures.",5,article,True,https://doi.org/10.59440/ceer/187189,https://openalex.org/W4396706237,Tasks: deterioration
New Approach for Conditional Coring in RC Structures Using Bivariate Distributions of Nondestructive Test Results,Soubhagya Karmakar; Siddhartha Ghosh; Saha Dauji,2024,10.1061/ajrua6.rueng-1236,ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems Part A Civil Engineering,"Nondestructive tests (NDT) and partially destructive tests (PDT) are routinely employed for the management of aging infrastructure assets. Owing to the uncertainties in such NDT/PDT data, codes and guidelines recommend the fusion of multiple test results for making judicious inferences regarding the in-situ material properties. Researchers have proposed conditional coring to address the various constraints encountered in the costlier and damaging core tests (PDT). Conditional coring is the selection of core locations using the distribution of one NDT data (ultrasonic pulse velocity: UPV; or, rebound hammer: RH). This article first elucidates the limitations of such univariate approaches, providing a scientific basis for the variety of uncertainties typically present in RH and UPV data. Thereafter, a new approach for bivariate conditional coring is proposed to address these limitations. This method employs information from both RH and UPV to identify the PDT (e.g., core test) locations. The proposed method is validated against a variety of synthetic and real test data triads (RH-UPV-Core). It is concluded from the results that the bivariate method provides efficient and consistent estimates of the in-situ strength. These estimates are superior to those obtained from univariate approaches. This happens because of a better incorporation of the spatial variability in in-situ concrete strength and the measurement accuracy in NDT. The advantage of the proposed approach is that the number of PDTs can be reduced to achieve the same target accuracy as a univariate approach. Thus, bivariate conditional coring promises excellent potential for improving the structural health assessment and auditing practices for reinforced concrete structures.",4,article,False,https://doi.org/10.1061/ajrua6.rueng-1236,https://openalex.org/W4399180171,Tasks: strength
Reliability and partial factor‐based assessment of a highway bridge supported by nondestructive testing,Stefan Küttenbaum; Thomas Braml; Marco Heinze; Christian Kainz; Christian Stettner,2024,10.1002/suco.202400717,Structural Concrete,"Abstract The preservation of the degrading transport infrastructure is vital, as replacing it is impossible in view of limited budgets and environmental impacts. One component in overcoming this challenge is the evaluation of the reliability and the calculation of the remaining service life of existing structures. These structural reliability reassessments allow for the identification and utilization of load‐bearing capacity reserves. The consideration of actual structural characteristics and environmental conditions, various of which can be gathered by means of numerous measurement and inspection techniques, has the potential for more realistic computation results and therefore more economic decisions about the operation as well as maintenance activities. This article attempts to shed light on the potential of nondestructive testing (NDT) methods for updating the input variables in the ultimate limit states during a recalculation. The approach of the NDT‐supported reliability reassessment is demonstrated using a prestressed concrete bridge emphasizing the bending proof in transversal direction. As a result, the semi‐probabilistic, probabilistic and NDT‐based reassessment results are compared and the effects of NDT‐supported structural analysis on the calculated reliability are highlighted.",4,article,True,https://doi.org/10.1002/suco.202400717,https://openalex.org/W4403651904,Tasks: deterioration
Enhancing non-destructive testing in concrete structures: a GADF-CNN approach for defect detection,Min Feng; Juncai Xu,2024,10.21595/jme.2024.23829,Journal of Measurements in Engineering,"This research introduces a novel approach for detecting defects in concrete structures. It utilizes the Gramian Angular Difference Field (GADF) in combination with a Convolutional Neural Network (CNN) enhanced by depthwise separable convolutions and attention mechanisms. The key contribution of this work is the use of GADF to transform one-dimensional impact-echo signals into two-dimensional images, thereby improving feature extraction and computational efficiency for analysis by the CNN. This advancement offers a new perspective in non-destructive testing technologies for concrete infrastructure. Comprehensive evaluation on a varied dataset of concrete structural defects reveals that our GADF-CNN model achieves an impressive test accuracy of 98.24 %, surpassing conventional models like VGG16, ResNet18, DenseNet, and ResNeXt50, and excelling in precision, recall, and F1-score metrics. Ultimately, this study enhances the integration of sophisticated image transformation techniques with deep learning, contributing to safer and more durable concrete infrastructure, and represents a noteworthy development in the field.",4,article,True,https://doi.org/10.21595/jme.2024.23829,https://openalex.org/W4393405357,Tasks: defects
Detection of corrosion effects on prestressed concrete bridge deck slabs from the champlain bridge through non‐destructive testing techniques,Dana Tawil; Beatriz Martín‐Pérez; Leandro Sanchez; Martin Noël,2024,10.1002/suco.202400591,Structural Concrete,"Abstract As aging infrastructures raise public concerns, evaluating their performance is crucial for maintaining structural integrity, especially for corroding prestressed concrete members. These structures may experience substantial tendon cross‐sectional area loss before any visible deterioration becomes detectable. While various non‐destructive techniques (NDT) have proven effective in labs, correlating corrosion‐induced damage in field members remains a challenge. Establishing these correlations is key for understanding the overall performance of aging structural concrete elements and ensuring their continued safe operation through non‐invasive means. This paper investigates various NDTs on a concrete bridge deck, aiming to correlate results. Visual inspection, Schmidt rebound hammer, Ultrasonic Pulse Velocity (UPV), corrosion detection techniques, Ground Penetrating Radar (GPR), Ultrasonic Pulse Echo (UPE), and Impact Echo (IE) methods are evaluated for detecting concrete deck damage. Results show the methods' capabilities in detecting defects to a certain extent, highlighting their potential in assessing aging concrete infrastructures.",3,article,True,https://doi.org/10.1002/suco.202400591,https://openalex.org/W4403250860,Tasks: deterioration
